,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
0,6652.391709736903,595907.2592005817,666.7887697062567,64623.80596317169
1,6680.438946664957,598734.0411055806,669.5292683519424,64929.08953135616
2,6708.486183593011,601560.8230105795,672.2697669976283,65234.37309954062
3,6736.533420521066,604387.6049155784,675.0102656433139,65539.65666772508
4,6764.58065744912,607214.3868205772,677.7507642889998,65844.94023590955
5,6792.627894377174,610041.1687255761,680.4912629346854,66150.22380409401
6,6820.675131305228,612867.9506305751,683.2317615803713,66455.50737227849
7,6848.722368233281,615694.7325355739,685.972260226057,66760.79094046295
8,6876.769605161335,618521.5144405728,688.7127588717428,67066.0745086474
9,6904.816842089389,621348.2963455716,691.4532575174285,67371.35807683188
10,6932.864079017443,624175.0782505706,694.1937561631144,67676.64164501634
11,6960.911315945497,627001.8601555694,696.9342548088,67981.92521320081
12,6988.9585528735515,629828.6420605683,699.6747534544859,68287.20878138527
13,7017.005789801604,632655.4239655673,702.4152521001715,68592.49234956973
14,7045.053026729658,635482.2058705661,705.1557507458574,68897.7759177542
15,7073.100263657712,638308.987775565,707.896249391543,69203.05948593866
16,7101.1475005857665,641135.7696805638,710.6367480372289,69508.34305412314
17,7129.194737513821,643962.5515855628,713.3772466829146,69813.6266223076
18,7157.241974441873,646789.3334905616,716.1177453286004,70118.91019049205
19,7185.289211369927,649616.1153955605,718.8582439742861,70424.19375867653
20,7213.336448297981,652442.8973005594,721.5987426199717,70729.47732686099
21,7241.383685226036,655269.6792055583,724.3392412656576,71034.76089504546
22,7269.43092215409,658096.4611105572,727.0797399113433,71340.04446322992
23,7297.478159082144,660923.243015556,729.8202385570291,71645.32803141439
24,7325.525396010198,663750.024920555,732.5607372027148,71950.61159959885
25,7353.5726329382505,666576.8068255538,735.3012358484007,72255.89516778331
26,7381.619869866305,669403.5887305527,738.0417344940863,72561.17873596778
27,7409.667106794359,672230.3706355516,740.7822331397722,72866.46230415224
28,7437.714343722413,675057.1525405505,743.5227317854578,73171.74587233672
29,7465.761580650467,677883.9344455494,746.2632304311437,73477.02944052118
30,7493.8088175785215,680710.7163505482,749.0037290768294,73782.31300870563
31,7521.856054506576,683537.4982555471,751.7442277225152,74087.59657689011
32,7549.903291434628,686364.280160546,754.4847263682009,74392.88014507457
33,7577.950528362682,689191.0620655449,757.2252250138868,74698.16371325904
34,7605.997765290736,692017.8439705438,759.9657236595724,75003.4472814435
35,7634.045002218791,694844.6258755426,762.7062223052583,75308.73084962796
36,7662.092239146845,697671.4077805416,765.4467209509439,75614.01441781243
37,7690.139476074899,700498.1896855404,768.1872195966298,75919.29798599689
38,7718.186713002953,703324.9715905393,770.9277182423154,76224.58155418136
39,7746.233949931006,706151.7534955381,773.6682168880013,76529.86512236582
40,7774.28118685906,708978.5354005371,776.408715533687,76835.14869055028
41,7802.328423787114,711805.3173055359,779.1492141793728,77140.43225873476
42,7830.375660715168,714632.0992105348,781.8897128250585,77445.71582691922
43,7858.422897643222,717458.8811155338,784.6302114707444,77750.99939510369
44,7886.4701345712765,720285.6630205326,787.37071011643,78056.28296328815
45,7914.517371499331,723112.4449255315,790.1112087621159,78361.5665314726
46,7942.564608427383,725939.2268305303,792.8517074078015,78666.85009965708
47,7970.611845355437,728766.0087355293,795.5922060534874,78972.13366784154
48,7998.659082283491,731592.7906405281,798.3327046991731,79277.41723602601
49,8026.706319211546,734419.572545527,801.0732033448587,79582.70080421047
50,8054.7535561396,737246.354450526,803.8137019905446,79887.98437239493
51,8082.800793067654,740073.1363555248,806.5542006362302,80193.2679405794
52,8110.848029995708,742899.9182605237,809.2946992819161,80498.55150876386
53,8138.895266923761,745726.7001655225,812.0351979276018,80803.83507694834
54,8166.942503851815,748553.4820705215,814.7756965732876,81109.1186451328
55,8194.989740779869,751380.2639755203,817.5161952189733,81414.40221331725
56,8223.036977707923,754207.0458805192,820.2566938646592,81719.68578150173
57,8251.084214635977,757033.8277855181,822.9971925103448,82024.96934968619
58,8279.131451564032,759860.609690517,825.7376911560307,82330.25291787066
59,8307.178688492084,762687.3915955159,828.4781898017163,82635.53648605512
60,8335.225925420138,765514.1735005147,831.2186884474022,82940.82005423958
61,8363.273162348192,768340.9554055136,833.9591870930878,83246.10362242405
62,8391.320399276246,771167.7373105125,836.6996857387737,83551.38719060851
63,8419.3676362043,773994.5192155114,839.4401843844594,83856.67075879298
64,8447.414873132355,776821.3011205103,842.1806830301452,84161.95432697744
65,8475.462110060409,779648.0830255091,844.9211816758309,84467.2378951619
66,8503.509346988461,782474.8649305081,847.6616803215168,84772.52146334638
67,8531.556583916516,785301.6468355069,850.4021789672024,85077.80503153084
68,8559.60382084457,788128.4287405058,853.1426776128883,85383.08859971531
69,8587.651057772624,790955.2106455046,855.8831762585739,85688.37216789977
70,8615.698294700678,793781.9925505036,858.6236749042598,85993.65573608423
71,8643.745531628732,796608.7744555025,861.3641735499455,86298.9393042687
72,8671.792768556787,799435.5563605013,864.1046721956313,86604.22287245316
73,8699.840005484839,802262.3382655003,866.845170841317,86909.50644063763
74,8727.887242412893,805089.1201704991,869.5856694870029,87214.79000882209
75,8755.934479340947,807915.902075498,872.3261681326885,87520.07357700655
76,8783.981716269001,810742.6839804968,875.0666667783744,87825.35714519102
77,8812.028953197056,813569.4658854958,877.80716542406,88130.64071337548
78,8840.07619012511,816396.2477904947,880.5476640697457,88435.92428155996
79,8868.123427053164,819223.0296954935,883.2881627154316,88741.20784974442
80,8896.170663981216,822049.8116004925,886.0286613611172,89046.49141792888
